frame,timeMs,energy
0,0.0,0.0
1,17.871,0.0
2,35.742,0.0012112745098039215
3,53.613,0.0003923669467787115
4,71.485,0.00015112044817927172
5,89.356,0.00046274509803921566
6,107.227,1.0644257703081232e-05
7,125.098,8.403361344537815e-07
8,142.969,0.0
9,160.84,3.5714285714285714e-06
10,178.711,1.400560224089636e-07
11,196.583,0.0
12,214.454,0.0
13,232.325,0.0
14,250.196,0.0
15,268.067,0.0
16,285.938,0.0
17,303.809,0.0
18,321.681,0.0
19,339.552,0.0
20,357.423,0.0
21,375.294,0.0
22,393.165,0.0
23,411.036,0.0
24,428.907,0.0
25,446.779,0.0
26,464.65,0.0
27,482.521,0.0
28,500.392,0.0
29,518.263,0.0
30,536.134,0.0
31,554.006,0.0
32,571.877,0.0
33,589.748,0.0
34,607.619,0.0
35,625.49,0.0
36,643.361,0.0
37,661.232,0.0004715686274509804
38,679.104,1.96078431372549e-06
39,696.975,0.0009620448179271709
40,714.846,2.030812324929972e-06
41,732.717,0.001202170868347339
42,750.588,0.0003292717086834734
43,768.459,4.901960784313725e-07
44,786.33,0.0006381652661064425
45,804.202,0.00029446778711484593
46,822.073,0.0004234593837535014
47,839.944,6.302521008403361e-07
48,857.815,0.0010259803921568627
49,875.686,1.6106442577030812e-06
50,893.557,0.0011765406162464985
51,911.428,0.0007716386554621849
52,929.3,0.0005158963585434173
53,947.171,5.350140056022409e-05
54,965.042,0.000613515406162465
55,982.913,0.00048102240896358544
56,1000.784,0.0005803221288515406
57,1018.655,0.0006838235294117647
58,1036.526,1.7507002801120449e-06
59,1054.398,0.0005745098039215686
60,1072.269,0.0007759803921568628
61,1090.14,0.0009026610644257703
62,1108.011,1.5406162464985994e-06
63,1125.882,0.0007615546218487395
64,1143.753,0.00020224089635854342
65,1161.624,3.5014005602240897e-07
66,1179.496,0.0
67,1197.367,0.0003436974789915966
68,1215.238,0.0006401960784313725
69,1233.109,0.0
70,1250.98,0.0003192577030812325
71,1268.851,0.00038914565826330533
72,1286.723,0.0007380252100840336
73,1304.594,1.96078431372549e-06
74,1322.465,3.5014005602240897e-07
75,1340.336,0.0006025210084033613
76,1358.207,0.000678641456582633
77,1376.078,0.0005357142857142857
78,1393.949,6.302521008403361e-07
79,1411.821,0.0004945378151260504
80,1429.692,0.0001758403361344538
81,1447.563,2.801120448179272e-07
82,1465.434,0.0
83,1483.305,0.0008098739495798319
84,1501.176,0.0009494397759103641
85,1519.047,0.0001464985994397759
86,1536.919,0.0006359943977591036
87,1554.79,0.00010007002801120448
88,1572.661,8.669467787114846e-05
89,1590.532,7.969187675070029e-05
90,1608.403,8.095238095238095e-05
91,1626.274,5.602240896358544e-07
92,1644.145,9.80392156862745e-07
93,1662.017,1.330532212885154e-06
94,1679.888,1.1204481792717088e-06
95,1697.759,2.801120448179272e-07
96,1715.63,0.0
97,1733.501,0.0005487394957983193
98,1751.372,0.0003139355742296919
99,1769.243,4.964985994397759e-05
100,1787.115,6.631652661064426e-05
101,1804.986,5.105042016806723e-05
102,1822.857,0.0005355742296918768
103,1840.728,4.726890756302521e-05
104,1858.599,2.801120448179272e-07
105,1876.47,0.0010237394957983194
106,1894.341,6.23249299719888e-06
107,1912.213,0.003041736694677871
108,1930.084,0.0037203081232492995
109,1947.955,0.00012317927170868347
110,1965.826,0.008603291316526611
111,1983.697,0.006467717086834734
112,2001.568,0.003850560224089636
113,2019.439,0.0014082633053221288
114,2037.311,1.7296918767507002e-05
115,2055.182,0.005690126050420168
116,2073.053,0.006377310924369748
117,2090.924,0.009463235294117647
118,2108.795,1.9607843137254903e-05
119,2126.666,0.0060951680672268905
120,2144.537,0.005246218487394958
121,2162.409,0.006192927170868347
122,2180.28,1.2254901960784313e-05
123,2198.151,0.0027945378151260506
124,2216.022,0.004348179271708683
125,2233.893,9.38375350140056e-06
126,2251.764,0.004839005602240896
127,2269.636,0.0007002801120448179
128,2287.507,0.0037028711484593836
129,2305.378,6.26750700280112e-05
130,2323.249,0.005091036414565826
131,2341.12,0.003788235294117647
132,2358.991,0.004534733893557423
133,2376.862,6.946778711484593e-05
134,2394.734,0.008515966386554621
135,2412.605,0.007140966386554622
136,2430.476,0.008064005602240897
137,2448.347,1.7507002801120447e-05
138,2466.218,0.0036792717086834735
139,2484.089,0.0038808823529411763
140,2501.96,1.1484593837535014e-05
141,2519.832,0.006855672268907563
142,2537.703,1.2324929971988795e-05
143,2555.574,0.003267927170868347
144,2573.445,0.005800490196078431
145,2591.316,0.0014175770308123249
146,2609.187,8.263305322128852e-06
147,2627.058,0.011333333333333334
148,2644.93,0.011108473389355743
149,2662.801,2.030812324929972e-05
150,2680.672,0.008056442577030812
151,2698.543,1.9117647058823528e-05
152,2716.414,8.655462184873949e-05
153,2734.285,0.007971988795518208
154,2752.156,0.0037787114845938374
155,2770.028,0.00695266106442577
156,2787.899,0.006464005602240896
157,2805.77,0.006992226890756303
158,2823.641,0.009530042016806723
159,2841.512,2.19187675070028e-05
160,2859.383,0.006295168067226891
161,2877.254,4.3277310924369746e-05
162,2895.126,0.004578991596638655
163,2912.997,0.003805392156862745
164,2930.868,0.0010247198879551821
165,2948.739,6.862745098039215e-06
166,2966.61,0.005885714285714286
167,2984.481,0.007529201680672269
168,3002.352,0.004889635854341737
169,3020.224,2.857142857142857e-05
170,3038.095,6.372549019607843e-06
171,3055.966,0.0027031512605042015
172,3073.837,0.0009860644257703082
173,3091.708,0.005290406162464986
174,3109.579,3.053221288515406e-05
175,3127.451,0.0041593837535014
176,3145.322,0.004547478991596639
177,3163.193,0.004300980392156863
178,3181.064,1.0084033613445378e-05
179,3198.935,0.0011204481792717086
180,3216.806,0.003769047619047619
181,3234.677,0.007445378151260504
182,3252.549,0.001582843137254902
183,3270.42,0.008548389355742297
