frame,timeMs,energy
0,0.0,0.0
1,41.667,0.002097288337300238
2,83.333,0.0015022526351581094
3,125.0,0.0006546809475235181
4,166.667,0.00013218293097585855
5,208.333,0.0005535248781593562
6,250.0,0.00050918055083305
7,291.667,0.00041269976198571914
8,333.333,0.00024623144055309983
9,375.0,9.874759152215799e-05
10,416.667,2.0967924742151195e-05
11,458.333,6.084948430239148e-05
12,500.0,9.718916468321432e-05
13,541.667,2.139295024368129e-05
14,583.333,1.4380029468434772e-05
15,625.0,8.571347614190184e-06
16,666.667,0.0002509775586535192
17,708.333,0.0005527456647398844
18,750.0,5.553666553326533e-05
19,791.667,8.472174997166496e-05
20,833.333,0.00022965544599342627
21,875.0,0.00017447296837810267
22,916.667,7.947976878612717e-05
23,958.333,5.7095092372209e-05
24,1000.0,0.0006055905020967925
25,1041.667,1.7567720729910462e-05
26,1083.333,3.258528845064037e-06
27,1125.0,1.664683214326193e-05
28,1166.667,0.0063799869658846195
29,1208.333,0.021172574521137934
30,1250.0,0.012185481128867732
31,1291.667,0.008123158222826703
32,1333.333,0.008524311458687522
33,1375.0,0.00014861725036835545
34,1416.667,0.004148603082851638
35,1458.333,0.0031718236427518984
36,1500.0,0.0022003570214212853
37,1541.667,5.43324266122634e-05
38,1583.333,4.746118100419359e-06
39,1625.0,2.9114246854811287e-05
40,1666.667,2.4580641505156977e-05
41,1708.333,0.00018637368242094526
42,1750.0,2.1959650912388077e-06
43,1791.667,1.707185764479202e-05
44,1833.333,2.5572367675393856e-05
45,1875.0,0.0006147285503796895
46,1916.667,0.00010597302504816956
47,1958.333,5.8795194378329366e-05
48,2000.0,0.00014153349200952058
49,2041.667,0.0004266547659526238
50,2083.333,5.702425478862065e-05
51,2125.0,4.8948770259548906e-05
52,2166.667,7.57253768559447e-05
53,2208.333,3.9527371642298536e-05
54,2250.0,3.966904680947523e-06
55,2291.667,0.0001402584155049303
56,2333.333,0.00010576051229740451
57,2375.0,0.00046844894026974954
58,2416.667,1.4805054969964864e-05
59,2458.333,0.0001569760852317806
60,2500.0,5.6882579621443956e-05
